run,type,module,name,attrname,attrvalue,vectime,vecvalue
BaseVersion-2-20240511-20:45:07-11874,runattr,,,configname,BaseVersion,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,datetime,20240511-20:45:07,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,datetimef,20240511-204507,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,experiment,BaseVersion,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,inifile,omnetpp.ini,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,iterationvars,$genInterval=0.2,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,iterationvarsd,genInterval=0.2,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,iterationvarsf,genInterval=0.2-,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,measurement,$genInterval=0.2,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,network,Network,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,processid,11874,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,repetition,0,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,replication,#0,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,resultdir,results,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,runnumber,2,,
BaseVersion-2-20240511-20:45:07-11874,runattr,,,seedset,2,,
BaseVersion-2-20240511-20:45:07-11874,itervar,,,genInterval,0.2,,
BaseVersion-2-20240511-20:45:07-11874,config,,,network,Network,,
BaseVersion-2-20240511-20:45:07-11874,config,,,sim-time-limit,200s,,
BaseVersion-2-20240511-20:45:07-11874,config,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,
BaseVersion-2-20240511-20:45:07-11874,config,,,Network.nodeTx.gen.packetByteSize,12500,,
BaseVersion-2-20240511-20:45:07-11874,config,,,Network.nodeTx.queue.bufferSize,200,,
BaseVersion-2-20240511-20:45:07-11874,config,,,Network.nodeRx.queue.bufferSize,200,,
BaseVersion-2-20240511-20:45:07-11874,config,,,Network.queue.bufferSize,200,,
