run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240604-22:02:37-59567,runattr,,,configname,General,,
General-0-20240604-22:02:37-59567,runattr,,,datetime,20240604-22:02:37,,
General-0-20240604-22:02:37-59567,runattr,,,datetimef,20240604-220237,,
General-0-20240604-22:02:37-59567,runattr,,,experiment,General,,
General-0-20240604-22:02:37-59567,runattr,,,inifile,omnetpp.ini,,
General-0-20240604-22:02:37-59567,runattr,,,iterationvars,,,
General-0-20240604-22:02:37-59567,runattr,,,iterationvarsd,,,
General-0-20240604-22:02:37-59567,runattr,,,iterationvarsf,,,
General-0-20240604-22:02:37-59567,runattr,,,measurement,,,
General-0-20240604-22:02:37-59567,runattr,,,network,Network,,
General-0-20240604-22:02:37-59567,runattr,,,processid,59567,,
General-0-20240604-22:02:37-59567,runattr,,,repetition,0,,
General-0-20240604-22:02:37-59567,runattr,,,replication,#0,,
General-0-20240604-22:02:37-59567,runattr,,,resultdir,results,,
General-0-20240604-22:02:37-59567,runattr,,,runnumber,0,,
General-0-20240604-22:02:37-59567,runattr,,,seedset,0,,
General-0-20240604-22:02:37-59567,config,,,network,Network,,
General-0-20240604-22:02:37-59567,config,,,sim-time-limit,200s,,
General-0-20240604-22:02:37-59567,config,,,"Network.node[{0,2}].app.interArrivalTime",exponential(1),,
General-0-20240604-22:02:37-59567,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",12500,,
General-0-20240604-22:02:37-59567,config,,,"Network.node[{0,2}].app.destination",5,,
