run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
BaseVersion-13-20240511-20:48:36-11938,runattr,,,configname,BaseVersion,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,datetime,20240511-20:48:36,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,datetimef,20240511-204836,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,experiment,BaseVersion,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,inifile,omnetpp.ini,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,iterationvars,$genInterval=0.75,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,iterationvarsd,genInterval=0.75,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,iterationvarsf,genInterval=0.75-,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,measurement,$genInterval=0.75,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,network,Network,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,processid,11938,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,repetition,0,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,replication,#0,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,resultdir,results,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,runnumber,13,,,
BaseVersion-13-20240511-20:48:36-11938,runattr,,,seedset,13,,,
BaseVersion-13-20240511-20:48:36-11938,itervar,,,genInterval,0.75,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,network,Network,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,sim-time-limit,200s,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,Network.nodeTx.gen.generationInterval,exponential(0.75),,,
BaseVersion-13-20240511-20:48:36-11938,config,,,Network.nodeTx.gen.packetByteSize,12500,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,Network.nodeTx.queue.bufferSize,200,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,Network.nodeRx.queue.bufferSize,200,,,
BaseVersion-13-20240511-20:48:36-11938,config,,,Network.queue.bufferSize,200,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,configname,BaseVersion,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,datetime,20240511-20:48:36,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,datetimef,20240511-204836,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,experiment,BaseVersion,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,inifile,omnetpp.ini,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,iterationvars,$genInterval=0.8,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,iterationvarsd,genInterval=0.8,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,iterationvarsf,genInterval=0.8-,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,measurement,$genInterval=0.8,,,
BaseVersion-14-20240511-20:48:36-11938,runattr,,,network,Network,,,
